slug,release_at,product_title,manual_category,version,url
flycart-30-release-notes-id-7061,2025-02-26,DJI FlyCart 30, - 发布记录,,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20250226/DJI_FlyCart_30_Release_Notes_cn.pdf
flycart-30-user-manual-id-6986,2026-04-28,DJI FlyCart 30,  - 用户手册,v1.2,https://dl.djicdn.com/downloads/DJI_FlyCart_100/20260428UM/DJI_FlyCart_30_User_Manual_v1.2.pdf
flycart-30-quick-start-guide-id-6991,2024-01-10,DJI FlyCart 30, - 快速入门指南,V1.0,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20240110/DJI_FlyCart_30_Quick_Start_Guide.pdf
flycart-30-safety-guidelines-and-disclaimer-id-6996,2025-07-09,DJI FlyCart 30,-  免责声明和安全操作指引,V1.0,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20250709/DJI_FlyCart_30_Disclaimer_and_Safety_Guidelines_0709.pdf
flycart-30-in-the-box-id-7001,2024-01-10,DJI FlyCart 30, - 物品清单,,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20240110/DJI_FlyCart_30_In_the_Box.pdf
flycart-30-in-the-box-id-7006,2024-01-10,DJI FlyCart 30, - 物品清单,（遥控器）,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20240110/DJI_FlyCart_30_RC_Plus_In_the_Box.pdf
flycart-30-c8000-charger-user-guide-id-6981,2024-01-10,DJI FlyCart 30,- C8000智能充电管家 - 使用说明,v1.0,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20240110/C8000_Intelligent_Battery_Station_User_Guide_v1.0_multi.pdf
d-rtk-2-user-guide,2023-06-30,D-RTK 2, - 使用说明,v2.6,https://dl.djicdn.com/downloads/d-rtk-2/20230621/D-RTK_2_Mobile_Station_User_Guide_v2.6_multi_.pdf
flycart-30-warranty-of-main-components-id-7021,2023-08-21,DJI FlyCart 30, - 主要部件保修期限表,,https://terra-1-g.djicdn.com/851d20f7b9f64838a34cd02351370894/%E5%94%AE%E5%90%8E%E6%94%BF%E7%AD%96/%E5%86%9C%E6%9C%BA%E4%BF%9D%E4%BF%AE%E6%9D%A1%E6%AC%BE/TA101%E4%BF%9D%E4%BF%AE%E6%9C%9F%E4%B8%8A%E6%8C%82%E5%AE%98%E7%BD%91.pdf
flycart-30-winch-system-user-guide-id-7036,2023-08-30,DJI FlyCart 30,空吊系统使用说明,V1.0,https://dl.djicdn.com/downloads/DJI_FlyCart_30/DJI_FlyCart_30空吊系统使用说明V1.0.pdf
flycart-30-winch-system-product-information-id-7066,2025-07-09,DJI FlyCart 30,空吊系统产品信息,,https://dl.djicdn.com/downloads/DJI_FlyCart_30/20250709/DJI_FlyCart_30_Winch_System_Product_Information_0709.pdf
flycart-30-care-plan-terms-id-7561,2024-03-08,DJI FlyCart 30, - 关怀计划服务条款,,https://terra-1-g.djicdn.com/ec87c1e7d4f54fe68e93b898600862db/%E8%BF%90%E8%BD%BD%E6%9C%BA/%E5%A4%A7%E7%96%86%E8%BF%90%E8%BD%BD%E6%97%A0%E4%BA%BA%E6%9C%BA%E5%85%B3%E6%80%80%E8%AE%A1%E5%88%92%E6%9C%8D%E5%8A%A1%E6%9D%A1%E6%AC%BE.pdf
flycart-30-maintenance-manual-id-8331,2025-02-18,DJI FlyCart 30,- 保养手册,,https://dl.djicdn.com/downloads/DJI_FlyCart_30/DJI_FlyCart_30_保养手册I.pdf
