solution_id,total_cost_万元,coverage_pct,emg_time_min,n_micro,n_comp,n_hub,total_stations,total_drones
0,230.0,0.36,131.87,1,0,0,1,2
5,230.0,0.36,131.87,1,0,0,1,2
4,460.0,12.49,65.98,2,0,0,2,4
7,460.0,8.47,55.06,2,0,0,2,4
16,690.0,8.49,52.81,3,0,0,3,6
13,690.0,11.55,64.71,3,0,0,3,6
25,690.0,9.63,54.73,3,0,0,3,6
8,880.0,43.58,47.24,1,1,0,2,7
14,920.0,12.45,44.97,4,0,0,4,8
11,1110.0,47.23,38.71,2,1,0,3,9
12,1110.0,47.23,38.71,2,1,0,3,9
47,1300.0,76.51,30.29,0,0,1,1,10
17,1300.0,76.51,30.29,0,0,1,1,10
24,1530.0,72.45,29.83,1,0,1,2,12
6,1800.0,39.04,27.09,5,1,0,6,15
18,1950.0,73.82,29.14,0,1,1,2,15
36,1950.0,68.51,26.28,0,3,0,3,15
10,1990.0,59.92,24.83,3,2,0,5,16
72,2180.0,76.61,25.4,1,1,1,3,17
9,2220.0,53.12,24.26,4,2,0,6,18
15,2220.0,64.58,24.58,4,2,0,6,18
61,2410.0,79.41,20.2,2,1,1,4,19
37,2600.0,66.84,19.71,0,4,0,4,20
31,2600.0,79.47,22.12,0,2,1,3,20
49,2640.0,71.79,19.65,3,3,0,6,21
53,2830.0,78.2,19.44,1,2,1,4,22
32,3060.0,69.89,17.46,2,4,0,6,24
63,3060.0,76.97,17.91,2,2,1,5,24
67,3250.0,88.13,21.39,0,1,2,3,25
33,3250.0,81.28,19.31,0,3,1,4,25
60,3480.0,88.53,20.52,1,1,2,4,27
73,3480.0,78.92,17.69,1,3,1,5,27
40,3710.0,77.73,17.02,2,3,1,6,29
70,3900.0,90.76,18.82,0,0,3,3,30
22,3940.0,85.33,14.48,3,5,0,8,31
20,4360.0,87.15,16.62,2,2,2,6,34
55,4590.0,86.0,15.47,3,2,2,7,36
69,4780.0,86.3,14.2,1,7,0,8,37
29,4820.0,83.47,13.0,4,4,1,9,38
30,5240.0,87.83,10.71,3,5,1,9,41
46,5430.0,91.28,15.63,1,0,4,5,42
57,5660.0,89.74,11.93,2,4,2,8,44
43,5890.0,90.74,11.57,3,4,2,9,46
54,6080.0,91.51,13.86,1,7,1,9,47
62,6310.0,91.79,10.15,2,7,1,10,49
76,6500.0,92.65,15.2,0,2,4,6,50
77,6540.0,92.21,13.0,3,5,2,10,51
45,6770.0,89.73,9.75,4,7,1,12,53
19,7190.0,92.08,10.52,3,6,2,11,56
28,7800.0,89.54,9.17,0,6,3,9,60
35,8030.0,92.99,9.39,1,10,1,12,62
64,8450.0,89.83,9.11,0,7,3,10,65
78,8490.0,93.91,11.83,3,4,4,11,66
66,8680.0,93.56,9.54,1,9,2,12,67
39,8910.0,93.93,8.66,2,11,1,14,69
42,9330.0,95.01,10.5,1,6,4,11,72
58,9560.0,94.04,10.13,2,8,3,13,74
71,9750.0,95.35,9.95,0,9,3,12,75
26,9980.0,92.41,8.13,1,7,4,12,77
75,10630.0,95.11,9.9,1,8,4,13,82
52,10630.0,95.11,9.9,1,8,4,13,82
48,11050.0,95.02,9.81,0,11,3,14,85
44,11280.0,95.68,8.15,1,11,3,15,87
50,11550.0,89.35,7.66,5,12,2,19,90
21,11780.0,83.24,7.54,6,12,2,20,92
38,12350.0,94.91,7.98,0,9,5,14,95
74,12390.0,95.38,7.69,3,12,3,18,96
41,12810.0,96.72,8.69,2,9,5,16,99
79,13000.0,97.08,7.82,0,12,4,16,100
23,13230.0,95.47,7.33,1,10,5,16,102
27,13880.0,96.54,7.78,1,11,5,17,107
59,14110.0,97.17,7.99,2,11,5,18,109
1,14300.0,97.98,7.88,0,12,5,17,110
51,14530.0,97.09,7.72,1,12,5,18,112
65,14990.0,93.68,7.04,3,12,5,20,116
68,14990.0,93.68,7.04,3,12,5,20,116
34,15450.0,93.38,6.99,5,12,5,22,120
2,15680.0,82.4,6.55,6,12,5,23,122
56,15910.0,89.85,6.8,7,12,5,24,124
3,16140.0,89.63,6.76,8,12,5,25,126
